,Title,Start Date,End Date,Description,Venue,Address,City,Postal Code,Country,Organizer,Website,Categories,Image URL,Source URL,desc2
0,Les Escales de la Rodia,2024-05-24T00:00:00+02:00,2024-06-21T23:59:59+02:00,"Du 24 mai au 21 juin, c’est le retour des Escales à la Rodia.  Au coeur de la ville, l’équipe vous prépare un mois de découvertes musicales et de détente.",Terrasse de la Rodia,4 Avenue Chardonnet,Besançon,25000.0,France,La Rodia,,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/393379320_707969071363312_3323575396836750880_n.jpg,https://sortir.besancon.fr/evenement/198176/,"Du 24 mai au 21 juin, la Rodia se transforme en un lieu de rendez-vous incontournable avec le retour des Escales. Au cœur de la ville, les amoureux de la musique et du bien-être trouveront leur bonheur pendant un mois entier. L'équipe de la Rodia a préparé un programme riche et varié pour vous offrir une expérience unique en son genre. Vous pourrez découvrir de nouveaux talents musicaux, explorer des styles différents, et vous laisser porter par les rythmes et les mélodies qui feront vibrer votre cœur. Mais ce n'est pas tout ! Les Escales à la Rodia, c'est également l'occasion de prendre un moment pour soi, de se ressourcer, de se détendre et de profiter du soleil printanier. Vous pourrez vous installer confortablement sur les espaces verts, déguster des boissons rafraîchissantes et des mets savoureux, tout en écoutant la musique qui vous fait vibrer. C'est un mois entier de découvertes, de détente et de joie qui vous attend à la Rodia !"
1,Ulysse de James Joyce,2024-05-27T00:00:00+02:00,2024-06-09T23:59:59+02:00,Spectacle Ulysse de James Joyce.,Fort de Chaudanne,Fort de Chaudanne,Besançon,25000.0,France,Théâtre Alcyon,,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/Affiche_Joyce_508-e1715356197376.jpg,https://sortir.besancon.fr/evenement/ulysse-de-james-joyce/,"Le spectacle Ulysse de James Joyce est une œuvre littéraire monumentale qui prend la forme d'un roman moderne et expérimental. Cette création complexe et multiple suit les pérégrinations du personnage principal, Léopold Bloom, lors de sa journée typique à Dublin le 16 juin 1904. Au fil des seize chapitres, Joyce déconstruit les codes narratifs classiques pour créer un univers littéraire unique où la langue, la structure et le contenu sont en constante révolution.

Dans ce roman polyphonique, la voix de Bloom se mêle à celles d'autres personnages, comme Stephen Dedalus, qui apparaît dans le premier chapitre, ainsi que Molly Bloom, qui clôt le roman par un monologue intérieur célèbre. Les différents épisodes du livre sont reliés par des thèmes et des motifs récurrents, tels que l'errance, la quête de soi, la paternité et la sexualité.

Le style de Joyce est caractérisé par une grande liberté formelle, où les phrases s'étirent, se brisent ou se métamorphosent en des flux de conscience qui reproduisent le fonctionnement de l'esprit humain. Les références à l'histoire, la mythologie et la littérature sont nombreuses, notamment à travers le personnage d'Ulysse, qui évoque à la fois le héros homérique et le Bloom moderne.

Grâce à sa structure non linéaire et à ses expériences formelles, Le spectacle Ulysse de James Joyce est considéré comme l'un des romans les plus innovants et les plus influents du XXe siècle. Cette œuvre complexe et profonde continue de fasciner les lecteurs et les critiques par sa richesse, sa complexité et sa beauté langagière."
2,Kin’Gongolo Kiniata + Zo,2024-06-05T00:00:00+02:00,,"Les congolais de Kin’Gongolo Kiniata sont un véritable phénomène. Nourris par les ambiances sonores de Kinshasa, ils traduisent la vie frénétique de ces rues dans leur musique. Ils fabriquent eux-mêmes leurs instruments avec des objets qu’ils recyclent et explorent les textures sonores pour produire un rock-électro-congolais imparable. Pour cette soirée à la Rodia, ils seront rejoints sur scène pour quelques morceaux par les bisontins de Greenshop, qu’ils ont rencontré au Congo dans le cadre du projet « Besakin » qui relie Besançon à la capitale congolaise.",Terrasse de la Rodia,4 Avenue Chardonnet,Besançon,25000.0,France,La Rodia,https://larodia.com/agenda/kingongolo-kiniata-zo-dj-set/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/b0006438-800x800-1.jpg,https://sortir.besancon.fr/evenement/kingongolo-kiniata-zo-zo/,"Les Congolais de Kin'Gongolo Kiniata constituent un véritable phénomène musical. Inspirés par les atmosphères sonores de Kinshasa, ils transposent la vie trépidante des rues de la capitale congolaise dans leur musique. Ils confectionnent eux-mêmes leurs instruments à partir d'objets recyclés et explorent les textures sonores pour produire un rock-électro-congolais inimitable. Grâce à cette alchimie sonore, ils parviennent à créer une musique qui est à la fois énergique et profonde, capable de faire vibrer les cœurs et les corps des auditeurs.

Pour cette soirée spéciale à La Rodia, ils seront rejoints sur scène par les musiciens de Greenshop, qu'ils ont rencontrés au Congo dans le cadre du projet ""Besakin"", qui relie Besançon à la capitale congolaise. Ce partenariat créatif leur permettra de partager leurs expériences et leurs influences mutuelles pour créer un son encore plus riche et diversifié.

Au cours de cette soirée, les Congolais de Kin'Gongolo Kiniata et les musiciens de Greenshop nous proposeront une expérience musicale unique, qui nous fera voyager entre la vie urbaine de Kinshasa et les paysages sonores de Besançon. Nous pourrons ainsi découvrir les spécificités du rock-électro-congolais, mais également les liens qui unissent les musiciens de deux villes différentes à travers leur passion commune pour la musique."
3,Lux Aeterna,2024-06-05T00:00:00+02:00,,Musique sacrée et chants spirituels.,Chapelle du centre diocesain,20 rue mégevand,Besançon,25000.0,,,,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/2-6.jpg,https://sortir.besancon.fr/evenement/lux-aeterna/,"Harmonies divines et mélodies inspirées, cette catégorie de musique est consacrée à l'expression de la foi et de la spiritualité. Elle rassemble des chants et des pièces instrumentales qui évoquent la transcendance, la méditation et la communion avec le sacré. Les airs sont souvent empreints d'une grande solennité et d'une profondeur émotionnelle, créant une atmosphère propice à la contemplation et à l'évasion.

Les chants spirituels et la musique sacrée se caractérisent par leur richesse vocale et instrumentale, avec des arrangements complexes qui mettent en valeur les voix et les instruments. Les textes sont souvent tirés de sources religieuses ou mystiques, et les mélodies sont conçues pour évoquer une sensibilité particulière chez l'auditeur.

C'est dans ce genre de musique que l'on retrouve des chefs-d'œuvre de la musique classique, tels que les messes de Mozart ou les oratorios de Haendel. Mais la musique sacrée et les chants spirituels ne sont pas limités à une époque ou à un style particulier, ils se retrouvent dans de nombreux genres et mouvements musicaux, du gospel au chant grégorien, en passant par le jazz spirituel ou la world music.

Les interprètes de cette musique sont souvent des artistes qui ont une grande maîtrise technique, ainsi qu'une profonde compréhension de l'univers spirituel qu'ils exploitent. Ils créent ainsi des œuvres qui peuvent être à la fois des expressions personnelles de foi et des témoignages universels de l'expérience humaine.

Enfin, la musique sacrée et les chants spirituels ont le pouvoir de réunir les gens, de créer un lien entre les croyants et les non-croyants, de transcender les frontières culturelles et religieuses. Elle offre une opportunité unique de partager des émotions et des expériences qui sont à la fois intimes et universelles."
4,Georges Kaplan de Frédéric Sonntag,2024-06-05T00:00:00+02:00,,Pièce de théâtre avec les élèves comédiens du Conservatoire.,Auditorium du Conservatoire,1 Passage des Arts,Besançon,25000.0,France,Conservatoire du Grand Besançon Métropole,https://conservatoire.grandbesancon.fr/agenda/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/KAPLAN.jpg,https://sortir.besancon.fr/evenement/georges-kaplan-de-frederic-sonntag/,"Spectacle scénique conçu et interprété par les jeunes comédiens en formation au Conservatoire, qui investissent la scène pour présenter une pièce de théâtre originale. Cette expérience unique permet aux élèves d'appliquer les compétences acquises pendant leur cursus et de mettre en pratique leurs connaissances théoriques dans un contexte professionnel. Sous la direction d'un metteur en scène expérimenté, ils apprennent à travailler ensemble comme une équipe, à développer leurs personnages et à créer une ambiance cohérente qui transporte le public dans l'univers de la pièce. Les élèves-comédiens sont ainsi amenés à relever les défis de l'interprétation, de la mise en scène et de la direction d'acteurs, tout en maintenant une grande précision et une grande justesse dans leur jeu. Le public est invité à découvrir cette création originale, fruit du travail acharné et de la créativité des jeunes comédiens qui s'apprêtent à entrer sur la scène professionnelle. Cette pièce de théâtre permet également aux spectateurs de découvrir les nouveaux talents qui se préparent à faire leur marque dans le monde du spectacle."
5,Scat-Noizet,2024-06-05T00:00:00+02:00,,"Un spectacle tout en rythme qui décoiffe Tchaïkovski ! Par le Jeune ensemble vocal & Choeur d’enfants avec musiciens, narrateur & comédien.
Direction : Edlira Priftuli",Théâtre Ledoux,Rue Megevand,Besançon,25000.0,,Conservatoire du Grand Besançon Métropole,https://conservatoire.grandbesancon.fr/agenda/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/Scat-noizet.jpg,https://sortir.besancon.fr/evenement/scat-noizet/,"Un concert exceptionnel qui réinvente Tchaïkovski avec une énergie rythmée ! Le jeune ensemble vocal et le chœur d'enfants se produisent aux côtés de musiciens, d'un narrateur et d'un comédien pour offrir un spectacle unique en son genre. Sous la direction artistique d'Edlira Priftuli, cette production inédite promet de surprendre et de ravir le public par sa fraîcheur et sa créativité. Les mélodies envoûtantes de Tchaïkovski sont revisitées avec un regard neuf et moderne, offrant une expérience musicale inoubliable. Le jeune ensemble vocal et le chœur d'enfants, accompagnés des musiciens, créent un son puissant et harmonieux qui habite parfaitement les partitions du grand maître russe. Le narrateur et le comédien ajoutent une touche de théâtre et d'humour à ce concert-spectacle, faisant ainsi preuve d'une grande inventivité. Sous la direction experte d'Edlira Priftuli, chaque élément de cette production est soigné pour offrir un spectacle qui est à la fois une célébration de la musique classique et une exploration de nouvelles formes artistiques. Ce concert exceptionnel promet de vous faire découvrir Tchaïkovski sous un jour nouveau et inattendu."
6,Hommage à Daniel Darc,2024-06-06T00:00:00+02:00,,"Compositeur, producteur et arrangeur de haut vol, Frédéric Lo représente pour beaucoup l’un des hommes clés des emblématiques Crèvecœur etAmours Suprêmes de Daniel Darc. S’il participa en effet activement au retour en forme de l’ancien Taxi Girl, le parcours de ce discret artisan de la pop d’ici ne saurait se résumer à cette unique collaboration. De Dani à Peter Doherty, en passant par Alex Beaupain ou Bill Pritchard, le nom de Frédéric Lo résonne tout particulièrement chez les amateurs de chansons ouvragées.",Terrasse de la Rodia,4 Avenue Chardonnet,Besançon,25000.0,France,La Rodia,,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/frederic-lo-800x800-1.jpg,https://sortir.besancon.fr/evenement/hommage-a-daniel-darc/,"Frédéric Lo, compositeur, producteur et arrangeur de grande renommée, est considéré par beaucoup comme l'un des artisans les plus importants derrière les icôniques Crèvecœur et Amours Suprêmes de Daniel Darc. Si sa participation active au retour en forme de l'ancien leader de Taxi Girl est indéniable, son parcours ne peut pas être réduit à cette seule collaboration. En effet, le nom de Frédéric Lo résonne particulièrement dans les oreilles des amateurs de chansons soignées, qu'il s'agisse de Dani, Peter Doherty, Alex Beaupain ou Bill Pritchard. Au fil des années, il a tissé une toile musicale riche et diverse, travaillant avec de nombreux artistes qui partagent sa passion pour la musique populaire de qualité. Grâce à son oreille experte et à ses compétences en matière de production, Frédéric Lo a su apporter un souffle nouveau à des projets musicaux parfois oubliés, tout en maintenant une cohérence artistique qui lui est propre. C'est pourquoi son nom est régulièrement cité dans les conversations des mélomanes qui cherchent des chansons ouvragées et soignées."
7,Présentation de la programmation de la 77ème édition du Festival de musique,2024-06-06T00:00:00+02:00,,"A l’occasion d’une soirée festive, Jean-Michel Mathé, directeur du Festival international de musique de Besançon présentera la programmation de la 77e édition du Festival.",Théâtre Ledoux,Rue Megevand,Besançon,25000.0,,Festival International de musique,https://festival-besancon.com/presentation-de-la-programmation-2024/?utm_source=brevo&utm_campaign=N_MAI_24&utm_medium=email,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/Sans-titre-2.jpg,https://sortir.besancon.fr/evenement/presentation-de-la-programmation-de-la-77eme-edition-du-festival-de-musique/,"Dans le cadre d'une soirée spéciale, Jean-Michel Mathé, directeur du Festival international de musique de Besançon, prendra la parole pour dévoiler le programme de la 77e édition de cet événement musical de renommée. Cette présentation sera l'occasion rêvée pour les mélomanes et les curieux de découvrir les différents concerts et spectacles qui seront proposés lors de cette édition. Le directeur du festival partagera avec le public ses choix artistiques, mettant en avant les valeurs et les thématiques qui ont guidé la sélection des oeuvres et des interprètes. Les participants à cette soirée festive pourront ainsi avoir un aperçu des moments forts de la prochaine édition du festival, qui promet d'être riche en découvertes et en émotions fortes. La présentation du programme sera l'occasion idéale pour les habitués du festival de se faire une idée précise de ce qui les attend, tandis que les nouveaux venus pourront découvrir l'univers musical unique proposé par le Festival international de musique de Besançon."
8,Marc-Antoine Le Bret,2024-06-06T00:00:00+02:00,,Marc-Antoine Le Bret revient avec un nouveau spectacle : SOLO,Micropolis,3 Boulevard Ouest,Besançon,25000.0,France,NG productions,https://ngproductions.fr/spectacle/marc-antoine-le-bret/64f1b20d4fb49/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2023/09/Template-Affiche-Siteweb-MALB.jpg,https://sortir.besancon.fr/evenement/marc-antoine-le-bret/,"Marc-Antoine Le Bret fait son grand retour sur scène avec un tout nouveau spectacle intitulé SOLO, où il se produit seul face au public. Dans ce one-man-show, il met en avant ses talents multiples et présente une formule inédite qui le permet de s'exprimer librement et sans entrave. Le spectacle est donc entièrement conçu et interprété par Marc-Antoine Le Bret, qui assume ainsi les rôles à la fois d'auteur, compositeur, chanteur, musicien et comédien. Cette liberté créative lui permet de donner vie à des personnages et des histoires qui reflètent son univers personnel et artistique. Au fil du spectacle, le public est invité à partager un voyage intime et émotionnel avec Marc-Antoine Le Bret, qui se livre comme jamais auparavant. SOLO est donc une expérience unique et inoubliable qui permet au spectateur de découvrir un autre aspect de l'artiste, plus personnel et plus intime que jamais. Ce spectacle est ainsi destiné à marquer les esprits et à laisser un souvenir durable chez le public."
9,Match d’improvisation jeunes : L’ARTI jeunes Auxons reçoit Besançon,2024-06-07T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Ils sont jeunes et fringants, ensemble ils affûtent leur imaginaire en ateliers, et dans la patoche bientôt ils se rencontreront : venez assister au match jeunes ARTI Auxons contre jeunes ARTI Besançon
—–
VENDREDI 07 JUIN à 20h
Pôle sportif et de loisirs
Rue du Stade, 25870 Les Auxons
—–
TARIFS & BILLETTERIE
BILLETTERIE en ligne ouverte jusqu’au 07 juin à 12h -> accès via notre site web : ludi-arti.fr/ (lien cliquable en bio)
VENTE SUR PLACE des places restantes, le soir-même dès 19h30
Tarifs : 10€ Normal /7€ Réduit (étudiants, scolaires, demandeurs d’emploi) • +0,50 cts sur place
—–
ℹ️ Toute l’année, dates, billetterie & infos sur notre site ludi-arti.fr • Facebook / Instagram : “Impro Besançon” • Pour nous joindre en direct : 06 79 32 83 84
—–
MATCH D’IMPROVISATION
Imaginez un arbitre sévère, lançant des titres à deux équipes qui, après 20 secondes de réflexions, créent des histoires improvisées.
Imaginez-vous voter pour votre équipe préférée au cours d’un spectacle dynamique drôle et parfois poétique et fantastique.
Ou arrêtez d’imaginez, venez et vivez-le !
VENI, VIDI, ARTI !",Pôle sportif des Auxons,Pôle sportif des Auxons,Les Auxons,25870.0,France,ARTI,,"Loisirs, Spectacle",https://sortir.besancon.fr/wp-content/uploads/2024/05/WhatsApp-Image-2024-05-08-a-14.14.39_e131faa8.jpg,https://sortir.besancon.fr/evenement/match-dimprovisation-jeunes-larti-jeunes-auxons-recoit-besancon/,"Deux équipes de jeunes et talentueux improvisateurs, ARTI Auxons et ARTI Besançon, s'affrontent dans un match d'improvisation où l'imaginaire est au centre. Ils ont passé des heures à aiguiser leur créativité en ateliers et sont maintenant prêts à se donner rendez-vous sur scène pour offrir au public un spectacle inédit et électrisant.

Le vendredi 7 juin à 20h, au Pôle sportif et de loisirs situé rue du Stade à Les Auxons, ces deux équipes vont s'affronter dans un match où l'arbitre lancera des titres qui leur donneront 20 secondes pour créer des histoires improvisées. Le public sera appelé à voter pour son équipe préférée au cours d'un spectacle dynamique, drôle, poétique et parfois fantastique.

Vous pouvez réserver vos billets en ligne jusqu'au 7 juin à 12h sur le site web ludi-arti.fr ou acheter les places restantes sur place le soir-même dès 19h30. Les tarifs sont de 10€ pour les adultes et 7€ pour les étudiants, scolaires et demandeurs d'emploi, avec un supplément de 0,50cts pour les achats sur place.

Toute l'année, vous pouvez retrouver les dates, la billetterie et les informations sur le site web ludi-arti.fr. Vous pouvez également suivre Impro Besançon sur Facebook et Instagram ou nous joindre directement au 06 79 32 83 84.

Alors, imaginez-vous voter pour votre équipe préférée au cours d'un spectacle inoubliable ou... arrêtez d'imaginer et venez vivre l'expérience en personne ! VENI, VIDI, ARTI !"
