,link
0,https://sortir.besancon.fr/evenement/198176/
1,https://sortir.besancon.fr/evenement/ulysse-de-james-joyce/
2,https://sortir.besancon.fr/evenement/kingongolo-kiniata-zo-zo/
3,https://sortir.besancon.fr/evenement/lux-aeterna/
4,https://sortir.besancon.fr/evenement/georges-kaplan-de-frederic-sonntag/
5,https://sortir.besancon.fr/evenement/scat-noizet/
6,https://sortir.besancon.fr/evenement/hommage-a-daniel-darc/
7,https://sortir.besancon.fr/evenement/presentation-de-la-programmation-de-la-77eme-edition-du-festival-de-musique/
8,https://sortir.besancon.fr/evenement/marc-antoine-le-bret/
9,https://sortir.besancon.fr/evenement/match-dimprovisation-jeunes-larti-jeunes-auxons-recoit-besancon/
10,https://sortir.besancon.fr/evenement/concert-du-choeur-airs-du-temps-3/
11,https://sortir.besancon.fr/evenement/spectacle-dimprovisation-theatrale-les-petits-papiers-5-avril-2024-le-scenacle-besancon/
12,https://sortir.besancon.fr/evenement/spectacle-musical-le-tour-du-monde-en-80-jours/
13,https://sortir.besancon.fr/evenement/pan-american-road-pause-dej-musicale/
14,https://sortir.besancon.fr/evenement/selva-sonora/
15,https://sortir.besancon.fr/evenement/rodiatheque-concert-de-cloture-the-sky-is-crying-par-bribes-4/
16,https://sortir.besancon.fr/evenement/hop-garden/
17,https://sortir.besancon.fr/evenement/fais-comme-a-givors-festival-de-caves-2024-theatre-souterrain/
18,https://sortir.besancon.fr/evenement/sami-galbi-live-sparse-fred-balkayou/
19,https://sortir.besancon.fr/evenement/fais-comme-a-givors-festival-de-caves-2024-theatre-souterrain-2/
20,https://sortir.besancon.fr/evenement/concert-du-choeur-schutz-de-besancon/
21,https://sortir.besancon.fr/evenement/rencontres-de-theatre-amateur/
22,https://sortir.besancon.fr/evenement/back-to-the-trees-prenez-lart-en-foret/
23,https://sortir.besancon.fr/evenement/doux-vakarme-introspektion-clio/
24,https://sortir.besancon.fr/evenement/bal-fol-dun-autre-monde/
25,https://sortir.besancon.fr/evenement/fais-comme-a-givors-festival-de-caves-2024-theatre-souterrain-3/
26,https://sortir.besancon.fr/evenement/ethnic-deep-music-live-dj/
27,https://sortir.besancon.fr/evenement/les-mal-aimes-de-et-avec-laurence-marion-diaz/
28,https://sortir.besancon.fr/evenement/amuso-fete-la-musique/
29,https://sortir.besancon.fr/evenement/le-caem-en-spectacle/
30,https://sortir.besancon.fr/evenement/voyage-musical-diodedetienne-gauthier/
31,https://sortir.besancon.fr/evenement/didjier-correze-pour-les-enfants-born-again/
32,https://sortir.besancon.fr/evenement/concert-voix-et-orgue/
33,https://sortir.besancon.fr/evenement/sound-system-meeting/
34,https://sortir.besancon.fr/evenement/carnet-de-voyage-par-vocal-mania-besanscene/
35,https://sortir.besancon.fr/evenement/jours-de-danse-2024/
36,https://sortir.besancon.fr/evenement/fete-du-jardin-partage-de-palente-la-biodiversite-cest-la-vie/
37,https://sortir.besancon.fr/evenement/spectacle-arts-en-quete-et-soiree-dansante/
38,https://sortir.besancon.fr/evenement/transatlantique-saison-2/
39,https://sortir.besancon.fr/evenement/les-insolites-de-la-rodia-4-concert-au-lever-du-soleil-nous-etions-une-armee/
40,https://sortir.besancon.fr/evenement/quand-viendra-la-vague/
41,https://sortir.besancon.fr/evenement/un-peu-de-serious/
