Title,Start Date,End Date,Description,Venue,Address,City,Postal Code,Country,Organizer,Website,Categories,Image URL,Source URL
Les Escales de la Rodia,2024-05-24T00:00:00+02:00,2024-06-21T23:59:59+02:00,"Du 24 mai au 21 juin, c’est le retour des Escales à la Rodia.  Au coeur de la ville, l’équipe vous prépare un mois de découvertes musicales et de détente.",Terrasse de la Rodia,4 Avenue Chardonnet,Besançon,25000,France,La Rodia,N/A,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/393379320_707969071363312_3323575396836750880_n.jpg,https://sortir.besancon.fr/evenement/198176/
Ulysse de James Joyce,2024-05-27T00:00:00+02:00,2024-06-09T23:59:59+02:00,Spectacle Ulysse de James Joyce.,Fort de Chaudanne,Fort de Chaudanne,Besançon,25000,France,Théâtre Alcyon,N/A,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/Affiche_Joyce_508-e1715356197376.jpg,https://sortir.besancon.fr/evenement/ulysse-de-james-joyce/
Kin’Gongolo Kiniata + Zo,2024-06-05T00:00:00+02:00,N/A,"Les congolais de Kin’Gongolo Kiniata sont un véritable phénomène. Nourris par les ambiances sonores de Kinshasa, ils traduisent la vie frénétique de ces rues dans leur musique. Ils fabriquent eux-mêmes leurs instruments avec des objets qu’ils recyclent et explorent les textures sonores pour produire un rock-électro-congolais imparable. Pour cette soirée à la Rodia, ils seront rejoints sur scène pour quelques morceaux par les bisontins de Greenshop, qu’ils ont rencontré au Congo dans le cadre du projet « Besakin » qui relie Besançon à la capitale congolaise.",Terrasse de la Rodia,4 Avenue Chardonnet,Besançon,25000,France,La Rodia,https://larodia.com/agenda/kingongolo-kiniata-zo-dj-set/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/b0006438-800x800-1.jpg,https://sortir.besancon.fr/evenement/kingongolo-kiniata-zo-zo/
Lux Aeterna,2024-06-05T00:00:00+02:00,N/A,Musique sacrée et chants spirituels.,Chapelle du centre diocesain,20 rue mégevand,Besançon,25000,N/A,N/A,N/A,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/2-6.jpg,https://sortir.besancon.fr/evenement/lux-aeterna/
Georges Kaplan de Frédéric Sonntag,2024-06-05T00:00:00+02:00,N/A,Pièce de théâtre avec les élèves comédiens du Conservatoire.,Auditorium du Conservatoire,1 Passage des Arts,Besançon,25000,France,Conservatoire du Grand Besançon Métropole,https://conservatoire.grandbesancon.fr/agenda/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/KAPLAN.jpg,https://sortir.besancon.fr/evenement/georges-kaplan-de-frederic-sonntag/
Scat-Noizet,2024-06-05T00:00:00+02:00,N/A,"Un spectacle tout en rythme qui décoiffe Tchaïkovski ! Par le Jeune ensemble vocal & Choeur d’enfants avec musiciens, narrateur & comédien.
Direction : Edlira Priftuli",Théâtre Ledoux,Rue Megevand,Besançon,25000,N/A,Conservatoire du Grand Besançon Métropole,https://conservatoire.grandbesancon.fr/agenda/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/Scat-noizet.jpg,https://sortir.besancon.fr/evenement/scat-noizet/
Hommage à Daniel Darc,2024-06-06T00:00:00+02:00,N/A,"Compositeur, producteur et arrangeur de haut vol, Frédéric Lo représente pour beaucoup l’un des hommes clés des emblématiques Crèvecœur etAmours Suprêmes de Daniel Darc. S’il participa en effet activement au retour en forme de l’ancien Taxi Girl, le parcours de ce discret artisan de la pop d’ici ne saurait se résumer à cette unique collaboration. De Dani à Peter Doherty, en passant par Alex Beaupain ou Bill Pritchard, le nom de Frédéric Lo résonne tout particulièrement chez les amateurs de chansons ouvragées.",Terrasse de la Rodia,4 Avenue Chardonnet,Besançon,25000,France,La Rodia,N/A,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/frederic-lo-800x800-1.jpg,https://sortir.besancon.fr/evenement/hommage-a-daniel-darc/
Présentation de la programmation de la 77ème édition du Festival de musique,2024-06-06T00:00:00+02:00,N/A,"A l’occasion d’une soirée festive, Jean-Michel Mathé, directeur du Festival international de musique de Besançon présentera la programmation de la 77e édition du Festival.",Théâtre Ledoux,Rue Megevand,Besançon,25000,N/A,Festival International de musique,https://festival-besancon.com/presentation-de-la-programmation-2024/?utm_source=brevo&utm_campaign=N_MAI_24&utm_medium=email,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/Sans-titre-2.jpg,https://sortir.besancon.fr/evenement/presentation-de-la-programmation-de-la-77eme-edition-du-festival-de-musique/
Marc-Antoine Le Bret,2024-06-06T00:00:00+02:00,N/A,Marc-Antoine Le Bret revient avec un nouveau spectacle : SOLO,Micropolis,3 Boulevard Ouest,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/marc-antoine-le-bret/64f1b20d4fb49/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2023/09/Template-Affiche-Siteweb-MALB.jpg,https://sortir.besancon.fr/evenement/marc-antoine-le-bret/
Match d’improvisation jeunes : L’ARTI jeunes Auxons reçoit Besançon,2024-06-07T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Ils sont jeunes et fringants, ensemble ils affûtent leur imaginaire en ateliers, et dans la patoche bientôt ils se rencontreront : venez assister au match jeunes ARTI Auxons contre jeunes ARTI Besançon
—–
VENDREDI 07 JUIN à 20h
Pôle sportif et de loisirs
Rue du Stade, 25870 Les Auxons
—–
TARIFS & BILLETTERIE
BILLETTERIE en ligne ouverte jusqu’au 07 juin à 12h -> accès via notre site web : ludi-arti.fr/ (lien cliquable en bio)
VENTE SUR PLACE des places restantes, le soir-même dès 19h30
Tarifs : 10€ Normal /7€ Réduit (étudiants, scolaires, demandeurs d’emploi) • +0,50 cts sur place
—–
ℹ️ Toute l’année, dates, billetterie & infos sur notre site ludi-arti.fr • Facebook / Instagram : “Impro Besançon” • Pour nous joindre en direct : 06 79 32 83 84
—–
MATCH D’IMPROVISATION
Imaginez un arbitre sévère, lançant des titres à deux équipes qui, après 20 secondes de réflexions, créent des histoires improvisées.
Imaginez-vous voter pour votre équipe préférée au cours d’un spectacle dynamique drôle et parfois poétique et fantastique.
Ou arrêtez d’imaginez, venez et vivez-le !
VENI, VIDI, ARTI !",Pôle sportif des Auxons,Pôle sportif des Auxons,Les Auxons,25870,France,ARTI,N/A,"Loisirs, Spectacle",https://sortir.besancon.fr/wp-content/uploads/2024/05/WhatsApp-Image-2024-05-08-a-14.14.39_e131faa8.jpg,https://sortir.besancon.fr/evenement/match-dimprovisation-jeunes-larti-jeunes-auxons-recoit-besancon/
